GeneID,DegreeCentrality,Betweenness
DIP-358N,0.0062402496099844,0.0
DIP-33878N,0.0015600624024961,0.0
DIP-60188N,0.0031201248049922,0.0003656396255850234
DIP-39378N,0.0015600624024961,0.0
DIP-61133N,0.0015600624024961,0.0
DIP-61212N,0.0031201248049922,4.875195007800312e-06
DIP-5717N,0.0124804992199688,0.0032322542901716067
DIP-60781N,0.0046801872074883,0.0017916341653666146
DIP-33098N,0.0046801872074883,0.00025107254290171607
DIP-29227N,0.0015600624024961,0.0
DIP-60682N,0.0015600624024961,0.0
DIP-33299N,0.0031201248049922,0.0
DIP-48643N,0.0031201248049922,0.0
DIP-6073N,0.0015600624024961,0.0
DIP-60985N,0.0046801872074883,0.0
DIP-29842N,0.0093603744149766,7.312792511700468e-05
DIP-310N,0.0015600624024961,0.0
DIP-48448N,0.0015600624024961,0.0
DIP-61143N,0.0015600624024961,0.0
DIP-46498N,0.0015600624024961,0.0
DIP-251N,0.0031201248049922,1.4625585023400937e-05
DIP-29528N,0.0171606864274571,0.00046314352574102966
DIP-46160N,0.0015600624024961,0.0
DIP-39067N,0.0015600624024961,0.0
DIP-5929N,0.0015600624024961,0.0
DIP-31275N,0.0015600624024961,0.0
DIP-61N,0.0015600624024961,0.0
DIP-5967N,0.0015600624024961,0.0
DIP-48702N,0.0015600624024961,0.0
DIP-29020N,0.0015600624024961,0.0
DIP-29452N,0.0015600624024961,0.0
DIP-48942N,0.0015600624024961,0.0
DIP-607N,0.0015600624024961,0.0
DIP-59867N,0.0015600624024961,0.0
DIP-35503N,0.0078003120124804995,0.0
DIP-60342N,0.0031201248049922,0.0
DIP-180N,0.0015600624024961,0.0
DIP-58641N,0.0015600624024961,0.0
DIP-59956N,0.0015600624024961,0.0
DIP-6042N,0.0015600624024961,0.0
DIP-231N,0.0015600624024961,0.0
DIP-58987N,0.0015600624024961,0.0
DIP-6074N,0.0015600624024961,0.0
DIP-6132N,0.0015600624024961,0.0
DIP-46284N,0.0,0.0
DIP-29750N,0.0015600624024961,0.0
DIP-46058N,0.0031201248049922,0.0
DIP-29205N,0.0124804992199688,0.0002583853354134165
DIP-41330N,0.0031201248049922,0.0
DIP-59420N,0.0015600624024961,0.0
